State/UT,Total Rape Cases 2019,Adult Cases (18+ yrs),Minor Cases (<18 yrs),2019 Rape Rate (per 100k pop),Annual Change in Rape Rate (2018-19),Annual Change in Cases (2018-19),Kidnapping/Abduction for Marriage (IPC 366)
India,32033,27093,4940,4.9,-0.3,-1323,15615.0
Andhra Pradesh,1086,542,544,4.2,0.5,115,65.0
Arunachal Pradesh,63,39,24,8.6,-0.7,-4,2.0
Assam,1773,1685,88,10.5,0.6,125,466.0
Bihar,730,729,1,1.3,0.2,79,4482.0
Chhattisgarh,1036,1033,3,7.2,-7.5,-1055,420.0
Goa,72,23,49,9.4,1.4,11,1.0
Gujarat,528,528,0,1.6,-0.1,-25,555.0
Haryana,1480,1472,8,10.9,1.2,184,178.0
Himachal Pradesh,359,162,197,10.0,0.4,15,152.0
Jammu and Kashmir,223,212,11,3.5,-1.5,-97,12.0
Jharkhand,1416,1228,188,7.7,1.7,326,164.0
Karnataka,505,505,0,1.6,0.1,13,15.0
Kerala,2023,761,1262,11.1,0.4,78,30.0
Madhya Pradesh,2485,2485,0,6.2,-7.6,-2948,1532.0
Maharashtra,2299,2299,0,3.9,0.2,157,796.0
Manipur,36,26,10,2.3,-1.1,-16,13.0
Meghalaya,102,82,20,6.3,0.8,15,1.0
Mizoram,42,19,23,7.1,-1.4,-8,0.0
Nagaland,8,6,2,0.8,-0.2,-2,0.0
Odisha,1382,1151,231,6.2,0.1,464,74.0
Punjab,1002,576,426,7.1,1.2,171,1188.0
Rajasthan,5997,4684,1313,15.9,4.2,1662,420.0
Sikkim,11,11,0,3.5,-1.6,-5,0.0
Tamil Nadu,362,353,9,1.0,0.1,31,183.0
Telangana,606,606,0,4.7,1.4,267,285.0
Tripura,88,88,0,4.5,-0.5,-9,53.0
Uttar Pradesh,3065,2895,270,2.8,-0.9,-881,4029.0
Uttarakhand,526,342,184,9.6,-0.8,-35,21.0
West Bengal,1069,1065,4,2.3,0.0,0,455.0
Andaman and Nicobar Islands,13,5,8,7.0,-9.1,-17,0.0
Chandigarh,112,47,65,20.7,4.6,26,0.0
Dadra and Nagar Haveli,0,0,0,0.0,-3.2,-7,0.0
Daman and Diu,4,4,0,3.1,0.7,1,0.0
Delhi,1253,1253,0,13.5,0.2,38,0.0
Lakshadweep,0,0,0,0.0,-6.1,-2,0.0
Puducherry,10,10,0,1.3,1.3,10,0.0
